kommune,lyn_treff,andel (%),lyn_per_år
Osterøy,3077,0.12652429496731832,153.85
Balsfjord,3042,0.125085117091512,152.1
Eigersund,3014,0.12393377479086688,150.7
Holmestrand,2998,0.12327586490478398,149.9
Tysnes,2982,0.1226179550187011,149.1
Vestre Toten,2976,0.12237123881142,148.8
Gáivuotna  Kåfjord,2964,0.12187780639685783,148.2
Råde,2962,0.12179556766109746,148.1
Asker,2943,0.12101429967137402,147.15
Trondheim,2937,0.12076758346409291,146.85
Jondal,2886,0.11867049570220367,144.3
Vestby,2857,0.1174780340336784,142.85
Bjugn,2793,0.11484639448934679,139.65
Frogn,2720,0.11184468063409356,136.0
Ås,2711,0.11147460632317191,135.55
Unjárga  Nesseby,2672,0.10987095097584483,133.6
Sauda,2664,0.10954199603280339,133.2
Marker,2648,0.10888408614672049,132.4
Kragerø,2639,0.10851401183579884,131.95
Rygge,2584,0.10625244660238888,129.2
Saltdal,2571,0.1057178948199465,128.55
Lindesnes,2563,0.10538893987690506,128.15
Rømskog,2551,0.10489550746234289,127.55
Audnedal,2527,0.10390864263321853,126.35
Gjerdrum,2521,0.10366192642593745,126.05
Porsgrunn,2489,0.10234610665377164,124.45
Gjemnes,2483,0.10209939044649055,124.15
Fjaler,2477,0.10185267423920945,123.85
Stranda,2464,0.1013181224567671,123.2
Røyken,2431,0.0999611833167211,121.55
Molde,2427,0.09979670584520038,121.35
Ørsta,2418,0.09942663153427875,120.9
Nedre Eiker,2416,0.09934439279851838,120.8
Tromsø,2395,0.09848088607303457,119.75
Skiptvet,2382,0.09794633429059223,119.1
Hitra,2373,0.09757625997967058,118.65
Nesodden,2370,0.09745290187603003,118.5
Berlevåg,2274,0.09350544255953262,113.7
Skedsmo,2263,0.09305312951285062,113.15
Narvik,2249,0.09247745836252809,112.45
Finnøy,2230,0.09169619037280463,111.5
Halsa,2229,0.09165507100492445,111.45
Kvalsund,2207,0.09075044491156047,110.35
Naustdal,2185,0.08984581881819646,109.25
Strand,2185,0.08984581881819646,109.25
Moss,2147,0.08828328283874959,107.35
