kommune,lyn_treff,andel (%),lyn_per_år,areal_km2,lyn_per_km2
Bykle,4493,0.18474931988565527,224.65,1472.9832862419623,3.050272220985642
Høylandet,4478,0.18413252936745256,223.9,758.9370728695408,5.900357434205557
Modalen,4428,0.18207656097344346,221.4,420.79295423749835,10.522989882337258
Etne,4426,0.1819943222376831,221.3,817.8654993570616,5.411647762962683
Aure,4421,0.1817887253982822,221.05,1050.2778771223957,4.2093622043271814
Hof,4258,0.17508626843381261,212.9,163.29775156370357,26.075068145313224
Flora,4247,0.1746339553871306,212.35,2153.9191729427384,1.9717545826929253
Hobøl,4207,0.17298918067192337,210.35,140.45924522827056,29.951748588445692
Fet,4122,0.16949403440210795,206.1,176.4091923178428,23.366129314697183
Lyngdal,4122,0.16949403440210795,206.1,629.5212934232826,6.547832524591692
Ski,4105,0.16879500514814486,205.25,165.61547152965963,24.786331627627234
Bamble,4089,0.16813709526206194,204.45,371.40131873610585,11.00965396115188
Marnardal,4036,0.16595776876441234,201.8,396.54313305736866,10.177959630475064
Stryn,4032,0.1657932912928916,201.6,1460.60363008282,2.760502518928681
Lindås,4028,0.16562881382137087,201.4,640.8549223842176,6.285353922248656
Trøgstad,3978,0.16357284542736183,198.9,204.49930426357108,19.452388918022493
Bodø,3963,0.1629560549091591,198.15,4827.96884254245,0.8208420827158963
Vik,3953,0.16254486123035727,197.65,974.7338013083933,4.055466215179832
Skjåk,3859,0.15867964064962023,192.95,2080.9522167928667,1.8544395055583904
Verran,3839,0.1578572532920166,191.95,676.3978591240162,5.6756536825408945
Årdal,3814,0.15682926909501205,190.7,1011.8263537178099,3.7694214881693955
Gamvik,3810,0.1566647916234913,190.5,3119.9096997210627,1.2211891902963201
Inderøy,3736,0.15362195840035792,186.8,561.2851075982462,6.65615379675125
Fusa,3704,0.1523061386281921,185.2,509.93317916432613,7.263696796647125
Lund,3676,0.15115479632754703,183.8,410.5600440171844,8.953623358063888
Førde,3661,0.1505380058093443,183.05,607.3442795711446,6.027882575242315
