kommune,kommunenummer,lyn_treff,lyn_per_år,andel (%),areal_km2,lyn_per_km2_per_år
Bindal,1811,7339,733.5987274220032,0.2698337355041118,1266.07,0.5794298320171896
Birkenes,4216,9102,909.8263546798029,0.33465413006655215,637.36,1.4274920840338314
Bjerkreim,1114,6357,635.439039408867,0.23372844482894656,650.55,0.9767720227636107
Bjørnafjorden,4624,6053,605.0515188834154,0.22255124690099318,517.4,1.1694076514948113
Bodø,1804,5238,523.5849753694581,0.19258606166651288,1395.3,0.3752490327309239
Bokn,1145,1460,145.940065681445,0.05367996373293409,47.15,3.095229388789926
Bremanger,4648,4420,441.8185550082102,0.16251057513669087,833.1199999999999,0.5303180274248731
Brønnøy,1813,5536,553.3727422003284,0.203542657003783,1046.03,0.5290218657211824
Bygland,4220,9579,957.5067733990147,0.35219203602587373,1311.7399999999998,0.7299516469719722
Bykle,4222,4493,449.1155582922824,0.1651945733233376,1467.1000000000001,0.3061247074448111
Båtsfjord,5632,1383,138.24322660098522,0.050848897152498525,1435.12,0.096328687915286
Bærum,3201,5839,583.660303776683,0.21468308783328915,192.28,3.0354706874177397
Bø,1867,598,59.77545155993432,0.02198672487143465,246.72,0.24228052675070655
Bømlo,4613,6353,635.0392036124795,0.23358137643515772,246.57,2.5754925725452384
Deatnu - Tana,5628,9082,907.8271756978653,0.33391878809760783,4051.28,0.22408403657556752
Dielddanuorri - Tjeldsund,5512,652,65.17323481116584,0.023972148187584266,814.41,0.08002509155237024
Dovre,3431,11396,1139.132183908046,0.41899785390446365,1364.38,0.834908298207278
Drammen,3301,7344,734.0985221674877,0.2700175709963479,317.60999999999996,2.3113205571848736
Drangedal,4016,17443,1743.5839490968801,0.6413284982147736,1062.77,1.6406032811397389
Dyrøy,5528,705,70.47105911330048,0.025920804405286667,288.64,0.24414862497678938
Dønna,1827,1246,124.54885057471265,0.045811804665230056,192.57,0.646771826217545
Eidfjord,4619,3212,321.06814449917897,0.118095920212455,1498.24,0.21429687132847805
Eidskog,3416,17527,1751.980500821018,0.6444169344843397,640.39,2.735802402943547
Eidsvoll,3240,12320,1231.4942528735633,0.45297065286969046,456.49,2.69774639723447
Eigersund,1101,7729,772.5827175697865,0.2841729038985258,432.5,1.786318422126674
Elverum,3420,21730,2172.1079638752053,0.7989490492579848,1229.2700000000002,1.766990135507419
Enebakk,3220,5086,508.3912151067323,0.18699746270253614,232.58,2.1858767525442095
